date,daily_revenue,rolling_7,rolling_30,month,dayofweek
2017-05-31,20438.15,14733.369999999999,16449.69566666667,2017-05,2
2017-06-01,19305.25,15293.57857142857,16505.197333333334,2017-06,3
2017-06-02,19131.33,16505.028571428575,16807.789666666667,2017-06,4
2017-06-03,10450.35,15978.005714285715,16705.84966666667,2017-06,5
2017-06-04,13863.23,16635.235714285714,16702.298666666666,2017-06,6
2017-06-05,24184.55,17388.334285714285,16967.784333333333,2017-06,0
2017-06-06,14589.15,17423.144285714287,16881.827,2017-06,1
2017-06-07,12771.66,16327.931428571426,16769.268666666667,2017-06,2
2017-06-08,18503.08,16213.335714285713,16691.469666666668,2017-06,3
2017-06-09,16051.35,15773.33857142857,16528.931666666664,2017-06,4
2017-06-10,8220.35,15454.767142857143,16197.458333333334,2017-06,5
2017-06-11,14303.56,15517.671428571428,16253.053333333335,2017-06,6
2017-06-12,14803.11,14177.465714285714,16442.535333333333,2017-06,0
2017-06-13,14016.09,14095.600000000002,16402.415,2017-06,1
2017-06-14,20441.67,15191.315714285713,16485.069666666666,2017-06,2
2017-06-15,12737.67,14367.685714285715,16203.829333333333,2017-06,3
2017-06-16,12908.23,13918.66857142857,16022.639333333333,2017-06,4
2017-06-17,11264.77,14353.585714285715,15789.960666666668,2017-06,5
2017-06-18,17836.16,14858.242857142859,15771.243666666669,2017-06,6
2017-06-19,22764.83,15995.63142857143,16175.657666666666,2017-06,0
2017-06-20,10968.33,15560.23714285714,15960.395333333332,2017-06,1
2017-06-21,6183.65,13523.377142857144,15319.377,2017-06,2
2017-06-22,8826.81,12964.682857142858,15020.32466666667,2017-06,3
2017-06-23,13282.98,13018.218571428572,14684.725,2017-06,4
2017-06-24,8325.65,12598.344285714285,14449.453666666668,2017-06,5
2017-06-25,17646.18,12571.204285714284,14682.620333333334,2017-06,6
2017-06-26,13414.76,11235.48,14658.462000000001,2017-06,0
2017-06-27,16681.61,12051.662857142857,14905.761666666667,2017-06,1
2017-06-28,14655.82,13261.972857142857,14763.860333333334,2017-06,2
2017-06-29,12169.53,13739.504285714287,14691.328666666666,2017-06,3
2017-06-30,12736.89,13661.49142857143,14434.619999999999,2017-06,4
2017-07-01,12151.75,14208.077142857144,14196.17,2017-07,5
2017-07-02,11489.44,13328.54285714286,13941.440333333334,2017-07,6
2017-07-03,16611.05,13785.155714285715,14146.796999999999,2017-07,0
2017-07-04,15484.24,13614.102857142858,14200.830666666667,2017-07,1
2017-07-05,20789.56,14490.351428571428,14087.664333333332,2017-07,2
2017-07-06,22223.72,15926.664285714285,14342.15,2017-07,3
2017-07-07,13662.87,16058.947142857141,14371.857,2017-07,4
2017-07-08,10206.86,15781.105714285713,14095.316333333332,2017-07,5
2017-07-09,8197.38,15310.811428571427,13833.517333333333,2017-07,6
2017-07-10,17326.93,15413.08,14137.07,2017-07,0
2017-07-11,20213.79,16088.73,14334.077666666668,2017-07,1
2017-07-12,19180.22,15858.824285714287,14479.981333333333,2017-07,2
2017-07-13,14531.0,14759.864285714286,14497.144999999999,2017-07,3
2017-07-14,18745.15,15485.904285714289,14440.594333333334,2017-07,4
2017-07-15,10930.56,15589.290000000003,14380.357333333335,2017-07,5
2017-07-16,13421.6,16335.607142857143,14397.469666666668,2017-07,6
2017-07-17,21554.98,16939.614285714288,14740.476666666667,2017-07,0
2017-07-18,28238.2,18085.95857142857,15087.211333333333,2017-07,1
2017-07-19,16545.34,17709.547142857144,14879.895,2017-07,2
2017-07-20,19174.08,18372.844285714287,15153.420000000002,2017-07,3
2017-07-21,13448.85,17616.230000000003,15395.593333333332,2017-07,4
2017-07-22,11456.81,17691.408571428572,15483.26,2017-07,5
2017-07-23,12117.61,17505.124285714286,15444.414333333332,2017-07,6
2017-07-24,19662.62,17234.787142857145,15822.313333333332,2017-07,0
2017-07-25,17482.53,15698.262857142856,15816.858333333334,2017-07,1
2017-07-26,11265.23,14943.961428571429,15745.207333333332,2017-07,2
2017-07-27,15693.93,14446.797142857144,15712.284666666666,2017-07,3
2017-07-28,20043.16,15388.841428571426,15891.862666666666,2017-07,4
2017-07-29,15964.27,16032.764285714284,16018.354,2017-07,5
2017-07-30,12944.87,16150.944285714286,16025.286666666669,2017-07,6
2017-07-31,17272.88,15809.552857142857,16195.991,2017-07,0
2017-08-01,21745.04,16418.48285714286,16537.844333333334,2017-08,1
2017-08-02,18147.0,17401.59285714286,16589.042666666668,2017-08,2
2017-08-03,19125.51,17891.818571428572,16710.418333333335,2017-08,3
2017-08-04,18361.62,17651.59857142857,16629.487,2017-08,4
2017-08-05,11946.91,17077.69,16286.926666666666,2017-08,5
2017-08-06,14181.14,17254.3,16304.202333333333,2017-08,6
2017-08-07,23257.84,18109.294285714284,16739.235,2017-08,0
2017-08-08,18661.63,17668.807142857142,17088.04333333333,2017-08,1
2017-08-09,20756.52,18041.595714285715,17202.363,2017-08,2
2017-08-10,19961.55,18161.030000000002,17193.954999999998,2017-08,3
2017-08-11,20039.24,18400.69,17222.589,2017-08,4
2017-08-12,13980.86,18691.254285714287,17204.251,2017-08,5
2017-08-13,12334.19,18427.404285714285,16990.552333333333,2017-08,6
2017-08-14,18156.37,17698.622857142855,17231.412666666667,2017-08,0
2017-08-15,23727.26,18422.284285714286,17574.934666666668,2017-08,1
2017-08-16,23950.42,18878.55571428571,17654.782666666666,2017-08,2
2017-08-17,18357.91,18649.464285714286,17325.439666666665,2017-08,3
2017-08-18,17132.01,18234.145714285714,17344.995333333332,2017-08,4
2017-08-19,12910.13,18081.184285714284,17136.197,2017-08,5
2017-08-20,12873.78,18158.268571428573,17117.028,2017-08,6
2017-08-21,22219.35,18738.694285714282,17475.779333333332,2017-08,0
2017-08-22,16627.12,17724.388571428568,17626.096333333335,2017-08,1
2017-08-23,15873.61,16570.55857142857,17499.796,2017-08,2
2017-08-24,13361.11,15856.73,17362.41533333333,2017-08,3
2017-08-25,15163.32,15575.488571428572,17492.35166666667,2017-08,4
2017-08-26,10141.69,15179.997142857144,17307.277,2017-08,5
2017-08-27,13367.88,15250.582857142857,17084.767666666667,2017-08,6
2017-08-28,22244.52,15254.17857142857,17294.109333333334,2017-08,0
2017-08-29,33756.48,17701.230000000003,17987.82966666667,2017-08,1
2017-08-30,30938.16,19853.308571428573,18443.338999999996,2017-08,2
2017-08-31,20671.51,20897.65142857143,18407.554666666667,2017-08,3
2017-09-01,28473.13,22799.052857142855,18751.759000000002,2017-09,4
2017-09-02,18128.66,23940.04857142857,18718.53066666667,2017-09,5
2017-09-03,27795.41,26001.124285714286,19032.990333333335,2017-09,6
2017-09-04,24937.98,26385.90428571429,19466.026,2017-09,0
2017-09-05,20981.55,24560.914285714283,19692.70633333333,2017-09,1
2017-09-06,25624.61,23801.83571428571,19771.59866666667,2017-09,2
2017-09-07,16893.5,23262.12,19712.661000000004,2017-09,3
2017-09-08,11883.47,20892.16857142857,19416.892666666667,2017-09,4
2017-09-09,15082.53,20457.007142857143,19254.25866666667,2017-09,5
2017-09-10,17810.27,19030.558571428573,19179.959666666666,2017-09,6
2017-09-11,23376.78,18807.53,19493.157,2017-09,0
2017-09-12,27136.01,19686.73857142857,19986.551,2017-09,1
2017-09-13,27593.28,19967.977142857144,20301.11466666667,2017-09,2
2017-09-14,22557.76,20777.15714285714,20262.131333333335,2017-09,3
2017-09-15,18373.26,21704.269999999997,20076.226000000002,2017-09,4
2017-09-16,21147.37,22570.675714285713,20169.208,2017-09,5
2017-09-17,19979.42,22880.554285714286,20264.121666666662,2017-09,6
2017-09-18,28487.81,23610.70142857143,20783.37766666667,2017-09,0
2017-09-19,20057.95,22599.549999999996,21022.85,2017-09,1
2017-09-20,22102.55,21815.16,21018.95666666667,2017-09,2
2017-09-21,19015.53,21309.12714285714,21098.570333333337,2017-09,3
2017-09-22,16255.12,21006.535714285714,21111.287333333334,2017-09,4
2017-09-23,10513.5,19487.411428571428,21016.367000000002,2017-09,5
2017-09-24,13049.75,18497.45857142857,20945.914666666667,2017-09,6
2017-09-25,17987.1,16997.35714285714,21207.428333333333,2017-09,0
2017-09-26,21681.9,17229.35,21484.56233333333,2017-09,1
2017-09-27,20646.92,17021.402857142857,21431.309,2017-09,2
